claim_id|marca_vehiculo|antiguedad_vehiculo|tipo_poliza|taller|partes_a_reparar|partes_a_reemplazar|tiempo_en_taller
561205|ferd|1|1|4|3|2|4.384084317938598
528569|ferd|4|3|1|2|4|2.949009122491966
408550|nan|2|4|1|4|2|-1
208451|nan|1|1|4|1|4|6.165575820663672
394115|ferd|2|4|1|3|4|-1
243530|fait|2|1|3|1|2|6.044710152812982
288203|nan|3|3|4|2|2|5.755813438598005
991981|ferd|3|3|2|1|2|4.817652487515653
435094|chepy|2|1|1|4|3|4.9815699930677315
417848|fait|4|3|1|4|4|3.2315036114105764
408550|nan|2|4|1|4|2|-1
394115|ferd|2|4|1|3|4|-1
208451|nan|1|1|4|1|4|6.165575820663672
528569|ferd|4|3|1|2|4|2.949009122491966
243530|fait|2|1|3|1|2|6.044710152812982
208451|nan|1|1|4|1|4|6.165575820663672
408550|nan|2|4|1|4|2|-1
243530|fait|2|1|3|1|2|6.044710152812982
394115|ferd|2|4|1|3|4|-1
394115|ferd|2|4|1|3|4|-1
288203|nan|3|3|4|2|2|5.755813438598005
243530|fait|2|1|3|1|2|6.044710152812982
208451|nan|1|1|4|1|4|6.165575820663672
288203|nan|3|3|4|2|2|5.755813438598005
243530|fait|2|1|3|1|2|6.044710152812982
394115|ferd|2|4|1|3|4|-1
991981|ferd|3|3|2|1|2|4.817652487515653
288203|nan|3|3|4|2|2|5.755813438598005
288203|nan|3|3|4|2|2|5.755813438598005
991981|ferd|3|3|2|1|2|4.817652487515653
243530|fait|2|1|3|1|2|6.044710152812982
435094|chepy|2|1|1|4|3|4.9815699930677315
991981|ferd|3|3|2|1|2|4.817652487515653
435094|chepy|2|1|1|4|3|4.9815699930677315
991981|ferd|3|3|2|1|2|4.817652487515653
288203|nan|3|3|4|2|2|5.755813438598005
417848|fait|4|3|1|4|4|3.2315036114105764
435094|chepy|2|1|1|4|3|4.9815699930677315
991981|ferd|3|3|2|1|2|4.817652487515653
435094|chepy|2|1|1|4|3|4.9815699930677315
417848|fait|4|3|1|4|4|3.2315036114105764
561205|ferd|1|1|4|3|2|4.384084317938598
417848|fait|4|3|1|4|4|3.2315036114105764
435094|chepy|2|1|1|4|3|4.9815699930677315
561205|ferd|1|1|4|3|2|4.384084317938598
417848|fait|4|3|1|4|4|3.2315036114105764
528569|ferd|4|3|1|2|4|2.949009122491966
408550|nan|2|4|1|4|2|-1
561205|ferd|1|1|4|3|2|4.384084317938598
528569|ferd|4|3|1|2|4|2.949009122491966
561205|ferd|1|1|4|3|2|4.384084317938598
417848|fait|4|3|1|4|4|3.2315036114105764
408550|nan|2|4|1|4|2|-1
561205|ferd|1|1|4|3|2|4.384084317938598
561205|ferd|1|1|4|3|2|4.384084317938598
208451|nan|1|1|4|1|4|6.165575820663672
394115|ferd|2|4|1|3|4|-1
528569|ferd|4|3|1|2|4|2.949009122491966
408550|nan|2|4|1|4|2|-1
528569|ferd|4|3|1|2|4|2.949009122491966
561205|ferd|1|1|4|3|2|4.384084317938598
